"module","domain","method","kind","sourceFile","line","status","priority","notes"
"MPCHARGE","Billing / card & e-check","VALUEADDBOOK","FUNCTION","MPCHARGE.PRG","5108","todo","",""
"MPCHARGE","Billing / card & e-check","VALUEADDPRIOR","FUNCTION","MPCHARGE.PRG","5142","todo","",""
"MPCHARGE","Billing / card & e-check","CARRIERBOOK","FUNCTION","MPCHARGE.PRG","5166","todo","",""
"MPCHARGE","Billing / card & e-check","CARRIERPRIOR","FUNCTION","MPCHARGE.PRG","5207","todo","",""
"MPCHARGE","Billing / card & e-check","UNITREGPRIOR","FUNCTION","MPCHARGE.PRG","5241","todo","",""
"MPCHARGE","Billing / card & e-check","BRONZESTRPRIOR","FUNCTION","MPCHARGE.PRG","5286","todo","",""
"MPCHARGE","Billing / card & e-check","DCZLOGISTBOOK","FUNCTION","MPCHARGE.PRG","5314","todo","",""
"MPCHARGE","Billing / card & e-check","UNITREGBOOK","FUNCTION","MPCHARGE.PRG","5345","todo","",""
"MPCHARGE","Billing / card & e-check","EAGLEMOGBOOK","FUNCTION","MPCHARGE.PRG","5390","todo","",""
"MPCHARGE","Billing / card & e-check","centralauto","FUNCTION","MPCHARGE.PRG","5449","todo","",""
"MPCHARGE","Billing / card & e-check","centralautoemail","FUNCTION","MPCHARGE.PRG","5662","todo","",""
"MPCHARGE","Billing / card & e-check","DRecalculate","FUNCTION","MPCHARGE.PRG","5752","todo","",""
"MPCHARGE","Billing / card & e-check","EstOthersWc","FUNCTION","MPCHARGE.PRG","5789","todo","",""
"MPCHARGE","Billing / card & e-check","EstOthersRet","FUNCTION","MPCHARGE.PRG","5863","todo","",""
"MPCHARGE","Billing / card & e-check","UpdValue","FUNCTION","MPCHARGE.PRG","5980","todo","",""
"MPCHARGE","Billing / card & e-check","EstMemoWc","FUNCTION","MPCHARGE.PRG","6227","todo","",""
"MPCHARGE","Billing / card & e-check","EstMemoRet","FUNCTION","MPCHARGE.PRG","6268","todo","",""
"MPCHARGE","Billing / card & e-check","CrgRemarksPreview","FUNCTION","MPCHARGE.PRG","6334","todo","",""
"MPCHARGE","Billing / card & e-check","MergeRem","FUNCTION","MPCHARGE.PRG","6422","todo","",""
"MPCHARGE","Billing / card & e-check","ViewRepNotes","FUNCTION","MPCHARGE.PRG","6489","todo","",""
"MPCHARGE","Billing / card & e-check","QA_Save","FUNCTION","MPCHARGE.PRG","6539","todo","",""
"MPCHARGE","Billing / card & e-check","FullValueWcXXXX","FUNCTION","MPCHARGE.PRG","6598","todo","",""
"MPCHARGE","Billing / card & e-check","FullValueCrgWc","FUNCTION","MPCHARGE.PRG","6680","todo","",""
"MPCHARGE","Billing / card & e-check","FullValueCrgRet","FUNCTION","MPCHARGE.PRG","6760","todo","",""
"MPCHARGE","Billing / card & e-check","badleadwc","FUNCTION","MPCHARGE.PRG","6904","todo","",""
"MPCHARGE","Billing / card & e-check","badleadret","FUNCTION","MPCHARGE.PRG","6948","todo","",""
"MPCHARGE","Billing / card & e-check","repnoteaddwc","FUNCTION","MPCHARGE.PRG","7027","todo","",""
"MPCHARGE","Billing / card & e-check","repnoteaddret","FUNCTION","MPCHARGE.PRG","7060","todo","",""
"MPCHARGE","Billing / card & e-check","jobtaskwc","FUNCTION","MPCHARGE.PRG","7110","todo","",""
